SampleID	ERR1328337	ERR1328338	ERR1328339	ERR1328340	ERR1328341	ERR1328342	ERR1328343	ERR1328344	ERR1328345	ERR1328346	ERR1328348	ERR1328349	ERR1328350	ERR1328351	ERR1328352	ERR1328353	ERR1328354	ERR1328356	ERR1328357	ERR1328358	ERR1328359	ERR1328360	ERR1328361	ERR1328362	ERR1328363	ERR1328365	ERR1328366	ERR1328367	ERR1328368	ERR1328370	ERR1328371	ERR1328372	ERR1328373	ERR1328376	ERR1328377	ERR1328378	ERR1328380	ERR1328383	ERR1328384	ERR1328386	ERR1328394	ERR1328395	ERR1328401	ERR1328403	ERR1328406	ERR1328410	ERR1328412	ERR1328413	ERR1328415	ERR1328417	ERR1328423	ERR1328424	ERR1328426	ERR1328428	ERR1328429
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__barnesiae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	933	0	0	0	0	0	0	1	0	2
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae	114	118	21	15	46	49	15	190	0	80	438	305	28	149	195	7	24	117	15	93	38	9	67	7	5	15	102	69	22	14	218	54	7	12	40	125	356	189	40	9	4	112	162	16	54	158	56	60	24	37	57	27	0	554	1
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__coprophilus	0	6	1	1	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	3	2	0	1	247	2	0	1	1	0	2	2	480	0	0	0	0	3	0	1	0	1	0	0	0	1	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__eggerthii	15	72	29	1	1	29	27	23	3	13	33	45	2	34	26	13	22	1	14	9	9	11	18	8	9	10	217	34	15	6	26	25	14	8	26	7	26	8	36	15	5	11	78	5	10	35	11	13	27	22	26	33	2	57	7
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis	27	6	0	10	1	53	1	312	0	40	53	27	3	1	10	9	269	20	14	45	4	5	350	149	42	0	16	20	10	2	14	10	0	27	5	4	12	35	1	17	6	7	10	84	34	10	33	19	4	64	15	6	8	72	29
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus	42	677	90	96	53	7189	83	89	1	804	1411	330	68	106	413	45	368	164	294	58	156	247	42	80	591	22	710	225	192	72	31	144	145	520	134	113	1234	127	229	336	19	14	194	172	146	161	416	1286	8	1407	66	106	229	759	13
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius	9	0	0	529	2	0	0	1	4	0	8	1	0	0	180	9	1	16	0	2	20	1	6	0	0	0	14	8	1	5	2	2	2	2	4382	1	0	2	28	2	406	0	7	0	6	2	0	2	39	9	1	0	0	0	1
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis	491	4273	2227	65	659	12683	15445	1839	57	4240	9911	9811	423	4326	2488	1828	9504	352	4508	2297	2374	2137	1540	1873	1506	220	8502	4948	2739	577	3869	3115	686	935	5445	896	10626	1651	6255	4862	1155	5314	8862	113	2066	2309	2050	2311	3773	12876	1910	7870	853	3748	56
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis	0	0	3	1	0	2	3	2	0	0	0	0	4	3	0	11	2	2	1	5	9	1	3	1	5	0	19	18	16	3	26	5	6	5	5	10	3	0	1	0	4	8	2	0	7	4	5	19	3	0	5	26	2	3	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__gordonii	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri	119	7	0	43872	28782	34	22	16	11	13	53	38	44357	21	4	4	3	7601	24	30	6866	16	916	4	0	34	46	13	1	35297	6	14	47	0	4	32	18	10	0	69	29	1	1	10	31	15	7	23	3	3	5	0	29516	15	32
