SampleID	ERR1328347	ERR1328355	ERR1328364	ERR1328369	ERR1328374	ERR1328375	ERR1328379	ERR1328381	ERR1328382	ERR1328385	ERR1328387	ERR1328388	ERR1328389	ERR1328390	ERR1328391	ERR1328392	ERR1328393	ERR1328396	ERR1328397	ERR1328398	ERR1328399	ERR1328400	ERR1328402	ERR1328404	ERR1328405	ERR1328407	ERR1328408	ERR1328409	ERR1328411	ERR1328414	ERR1328416	ERR1328418	ERR1328419	ERR1328420	ERR1328421	ERR1328422	ERR1328425	ERR1328427	ERR1328430	ERR1328431	ERR1328432	ERR1328433	ERR1328434	ERR1328435
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__coprophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	3	2	0	0	1	1	0	0	1	1040	157	0	2	0	0	0	0	0	1	2	0	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__eggerthii	7	19	26	20	2	4	62	12	25	10	3	11	21	26	6	112	11	6	4	5	10	17	2	4	11	6	13	20	19	16	31	13	3	3	11	37	22	17	19	30	14	11	121	3
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis	2	1	0	26	2	0	7	63	47	12	7	7	54	4	1	4	10	57	0	7	25	28	1	0	35	0	107	3	1	2	1	14	96	142	1	3	2	31	39	54	8	4	25	54
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus	70	131	299	1464	123	53	572	195	2458	260	39	54	178	328	26	247	214	520	55	51	146	75	1076	28	550	90	772	170	52	396	142	30	29	14	83	88	24	276	1685	1583	778	14	134	3
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius	0	0	5	6	8	1	1	4	13	18	0	0	1	2727	3	1	282	0	212	8	3	0	3	0	0	1	2	11	0	14	2	380	0	1	0	2	6	0	4	1	0	94	1	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis	1017	2605	7436	4838	635	275	5654	2684	3862	2130	1016	543	4309	4491	541	7965	2988	2354	588	762	2512	5166	40	87	2422	931	1420	6644	2188	1941	3351	1835	196	63	178	6730	4352	4470	1035	3265	4404	6820	8793	23
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis	1	6	4	13	0	0	1	0	0	1	4	3	4	0	0	15	4	5	3	1	2	27	0	0	0	2	4	3	4	3	2	5	0	0	1	3	1	3	9	0	6	5	5	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__gordonii	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri	140	1	59	1	43810	22099	1	62	45	3	34	30051	43	40	3	3	3	13	17768	20879	9	0	59	5179	47	4	1	0	0	22	1	25	0	14	16	21	3	1	18	4	0	0	10	16
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__nigrescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
